SKU,Marca,Nombre,Stock,"Precio Unitarioc/Iva"
Accesorios Celulares,,,,
99929865,PCF OEM,Lentes para cámaras de celulares - Kit 3 en 1,1,3.990
99934147,Spektra,"Adaptador Lightning a Lightning + Jack 3.5mm SpektraPlateado",1,6.990
99934146,Spektra,Adaptador Tipo-C a Tipo-C + Jack 3.5mm Spektra Gris,3,6.990
99924365,Samsung,Bateria de Repuesto para J1,3,4.990
99937371,Apple,"Carcasa funda de silicona para iPhone 11 Pro - Color arenarosa",1,9.989
99937369,Apple,Carcasa funda transparente para  iPhone 11 Pro,1,9.989
99930680,NjoyTech,"Kit 3 en 1 Njoy-Tech Adaptadores OTG USB/Tipo C/MicroUSB Negro",1,3.990
99927537,PCF OEM,Kit Selfie Stick 5 en 1 Bluetooth SmartFy,5,3.989
99934158,Ultra,Kit Selfie Stick 5 en 1 Bluetooth ULTRA Negro,1,6.990
99937370,Apple,iPhone 11 Pro Silicone Case - White,1,8.990
Accesorios Corte y Estampado,,,,
99936425,Makeblock,Hepa Filtros Laserbox (3 unidades x caja),1,9.990
99919149,Silhouette,"Papel adhesivo blanco para stickers Cameo 3 - Cameo 4 -Portrait - Curio",1,4.990
99921228,Silhouette,Tintas-Botella Mint Ink 5ml Cafe,1,3.990
Accesorios Cámaras de Acción,,,,
99926909,GoPole,Bastón Selfie Flotador Evo 2,4,6.990
99926908,GoPole,Bastón Selfie Reach 1 Metro Para GoPro,4,6.990
99931624,Xsories,Bastón Selfie U-Shot Silver,1,6.990
99930999,GoPole,Batería Recargable para GoPro,1,9.990
99931002,GoPole,Carcasa Hitproof/Waterproof para GoPro,2,6.990
99931001,GoPole,Domo de Buceo para GoPro,1,6.990
99931237,GoPro,Funda y Correa Negra,1,4.990
99919872,GoPro,Smart Remote,1,9.990
Accesorios Desktop,,,,
99945433,Silverstone,Extensor Cable Riser PCI-E 4.0 x16 220mm,1,24.990
Accesorios Electrónica,,,,
99927701,Adafruit,Bases de pines para Feather - 12-pin y 16-pin,1,990
99930482,PCF OEM,Conector HDMI - Ángulo recto,1,2.490
99930198,Raspberry Pi,"Fuente de Alimentación Raspberry Pi 2,5A 13W Element 14Oficial",3,3.990
Accesorios Impresoras 3D,,,,
99937907,Creality,"Boquilla de impresora 3D de 0.4mm para CR-10S Pro, CR-10Max (4 unidades)",1,1.990
99942480,Creality,Full Hotend Kit para serie Ender 3,1,19.990
99935784,Creality,Hotbed Kit Para Ender 3 y Ender 3 Pro,1,14.990
Accesorios Notebooks,,,,
SKU,Marca,Nombre,Stock,"Precio Unitarioc/Iva"
99936349,Apple,Adaptador Lightning a USB,3,19.990
99937682,Apple,Adaptador Lightning a lector de tarjetas SD,1,14.989
99919985,Apple,Adaptador Thunderbolt a Gigabit Ethernet para Mac,1,14.989
99937460,Apple,Adaptador de Thunderbolt 3 (USB-C) a Thunderbolt 2,2,19.990
99937461,Apple,Adaptador de Thunderbolt a Gigabit Ethernet,4,14.989
99937679,Apple,Adaptador de USB-C a USB,1,9.989
99937681,Apple,Adaptador de conector Lightning a USB para cámara,6,9.989
99937464,Apple,"Cargador MagSafe 2 de 60 W (para MacBook Pro conpantalla Retina de 13"")",5,29.988
99937465,Apple,"Cargador MagSafe 2 de 85 W (para MacBook Pro conpantalla Retina de 15"")",1,39.990
99937462,Apple,Cargador MagSafe para Mac 85W,1,39.990
99922211,Apple,Cargador original Magsafe 2 60W para MacBook Pro Retina,2,29.988
Accesorios Reflex,,,,
99928426,Canon,Batería LP-E10,2,29.990
99928428,Canon,Batería LP-E8,1,29.990
99925409,Canon,Control Remoto Inalámbrico RC-6,1,19.990
Accesorios Tablas Digitalizadoras,,,,
99929683,Wacom,Cable 3 en 1 para Cintiq 13HD y Companion STJA328,3,6.990
99929685,Wacom,Cable USB 1m para Intuos y Bamboo STJA307,4,4.990
99933397,Livescribe,Livescribe 2GB Echo Smartpen,1,24.990
99928566,Wacom,"Lápiz para Intuos Art, Comic, Draw LP190K",4,9.990
99928573,Wacom,Stand McAllan para MobileStudio Pro 13 & 16 ACK627K,1,25.990
Accesorios Tablets,,,,
99914848,Microlab,"Adaptador SD/MMC/TF micro SD /T2/MM Duo para GalaxyTab",2,990
99948109,Apple,Apple Pencil (1a Generación),1,71.990
99937334,Apple,Apple Pencil (1a generación),20,68.990
99913152,Microlab,"Cable cargador y sincronizador USB para iPad 2, iPhone,iPod",1,1.990
Accesorios de Drones,,,,
99931709,DJI,Hub Cargador de Baterías Mavic 2,1,19.990
99917396,DJI,Phantom 2 - GPS,1,45.967
99919944,Syma,X5C Quadricoptero - Hélices,4,490
99919945,Syma,X5C Quadricoptero - Protección Hélice,43,389
Accesorios de Impresoras,,,,
99927700,Brother,Bandeja inferior de 500 hojas LT-320,1,49.990
99925742,Epson,Bateria Externa Picturemate PM-525,2,24.990
99931639,Brother,Unidad de Transferencia  BU-223CL,1,41.990
Access Point,,,,
SKU,Marca,Nombre,Stock,"Precio Unitarioc/Iva"
9995919,Air802,Access Point / Router AP-G250 250mW,8,14.990
9996950,Advantek,Access Point / Router AWR-1054GR/E,2,9.990
9992021,DLink,Access Point 2.4 GHz N300 DAP-1360,24,4.990
99913273,DLink,Access Point 2.4 GHz PoE AirPlus DAP-2360,2,42.990
99910414,Tenda,Access Point 300Mbps Slim W301A,1,11.990
99914149,Linksys,Access Point Dual-Band N300 WAP300N,8,20.990
99910725,TPLink,Access Point PoE 2.4 GHz N150 TL-WA701ND,15,6.990
99910797,TPLink,Access Point PoE 2.4 GHz N300 TL-WA901ND,9,13.990
9994007,Linksys,Access Point WAP54G,2,12.990
99913055,Linksys,Bridge Inalambrico WUMC710,3,45.990
Actuadores,,,,
99927582,Adafruit,Matriz LED 16x24 Roja concatenable con driver HT1632C,1,7.990
99927724,Luckylight,Matriz LED RGB 8x8 miniatura,1,1.490
Adaptadores Bluetooth,,,,
99923463,Spektra,"Adaptador Bluetooth para Audio - transmisor y receptor deaudio",4,9.990
99932427,Spektra,Adaptador USB-Bluetooth Micro 4.0,1,9.990
Adaptadores PC,,,,
99922973,Spektra,Adaptador DisplayPort a HDMI Blanco,1,1.990
99922969,Spektra,Adaptador HDMI macho a VGA hembra blanco,1,990
99922983,Spektra,Adaptador Micro HDMI a VGA,1,3.990
99921836,PCF OEM,Adaptador Micro HDMI a VGA con Sonido,1,2.990
99922974,Spektra,Adaptador Mini DisplayPort a VGA,5,1.990
99922971,Spektra,Adaptador Mini HDMI a VGA,8,990
99936124,Kensington,Adaptador USB-C a USB-A,2,4.990
99924763,PCF OEM,Adaptador VGA-macho a HDMI-hembra,3,2.990
9998944,Spektra,Cable Adaptador USB a Puerto Paralelo,1,2.990
9996201,PCF OEM,Cable Adaptador USB a Puerto Paralelo,4,990
99932317,Tripp Lite,"Extensor HDMI Inalámbrico con IR, 50 metros",1,83.990
Aire Acondicionado Portátil,,,,
99935308,Kendal,Aire Acondicionado Portátil ECO II 7000 Solo Frío,1,89.990
Alarmas,,,,
99916063,Opexia,Control Remoto de Alarma,1,1.990
99918750,Opexia,Kit Alarma inalámbrica GSM compatible con Smartphone,13,34.990
99927614,Drakon,Kit Casa Segura,4,39.990
99927611,Drakon,"Kit de seguridad (1x central alarma, 2x cámaras, 10xsensores, 2x controles remoto, 2x sirenas)",1,119.990
