SKU,Marca,Nombre,Stock,"Precio Unitarioc/Iva"
ARM-Fuente,,,,
99923981,PCF OEM,Fuente Poder 600w Generica,2,3.992
Accesorios Celulares,,,,
99934147,Spektra,"Adaptador Lightning a Lightning + Jack 3.5mm SpektraPlateado",1,6.990
99924365,Samsung,Bateria de Repuesto para J1,1,1.990
99937371,Apple,"Carcasa funda de silicona para iPhone 11 Pro - Color arenarosa",1,7.991
99929937,Spektra,Cargador Múltiple USB Inteligente Negro (Alargador),1,6.990
99930679,NjoyTech,"Cámara Endoscópica OTG Njoy-Tech para celularesAndroid/Windows",3,6.392
99930680,NjoyTech,"Kit 3 en 1 Njoy-Tech Adaptadores OTG USB/Tipo C/MicroUSB Negro",6,3.192
99927537,PCF OEM,Kit Selfie Stick 5 en 1 Bluetooth SmartFy,2,3.191
99937370,Apple,iPhone 11 Pro Silicone Case - White,1,7.192
Accesorios Consolas,,,,
99933450,Collective Minds,"Sistema mando con botones compatible con controles de PS4para F.P.S",1,11.192
Accesorios Corte y Estampado,,,,
99921286,Silhouette,"Cuchilla de corte profundo Curio - Portrait 2 - Cameo 3 -Cameo 4",1,3.990
99921223,Silhouette,Tintas-Botella Mint Ink 5ml Azul,1,990
99921228,Silhouette,Tintas-Botella Mint Ink 5ml Cafe,4,990
Accesorios Cámaras de Acción,,,,
99926908,GoPole,Bastón Selfie Reach 1 Metro Para GoPro,1,5.592
99931002,GoPole,Carcasa Hitproof/Waterproof para GoPro,6,5.592
99926914,GoPro,Control Remoto GoPro Remo,6,45.990
99931237,GoPro,Funda y Correa Negra,3,3.992
99926915,GoPro,Head Strap + Quickclip,1,11.990
99927764,Manfrotto,Luz Led Off Road,8,28.990
Accesorios Desktop,,,,
99942431,Silverstone,Adaptador Cable Slim SATA a SATA Desktop,1,3.192
99926952,Spektra,"Caddy SSD 9,5mm A100",1,1.990
Accesorios Electrónica,,,,
99930196,MCM,Carcasa para Raspberry Pi B+/Pi 2/Pi 3/B+ Transparente,1,3.192
99930482,PCF OEM,Conector HDMI - Ángulo recto,1,1.990
Accesorios Impresoras 3D,,,,
99937907,Creality,"Boquilla de impresora 3D de 0.4mm para CR-10S Pro, CR-10Max (4 unidades)",1,1.592
Accesorios Notebooks,,,,
99936349,Apple,Adaptador Lightning a USB,3,15.992
SKU,Marca,Nombre,Stock,"Precio Unitarioc/Iva"
99937461,Apple,Adaptador de Thunderbolt a Gigabit Ethernet,2,14.989
99937681,Apple,Adaptador de conector Lightning a USB para cámara,6,7.991
99937462,Apple,Cargador MagSafe para Mac 85W,1,31.992
99913516,Apple,Cargador original Magsafe 2 45W para MacBook Air.,1,35.990
99949752,Apple,LIQ - Adaptador PC Apple Thunderbolt cable (0.5 m),1,13.170
Accesorios Reflex,,,,
99928429,Canon,Batería LP-E17,1,15.992
99928427,Canon,Batería LP-E6N,1,14.792
99930263,PCF OEM,Swivel para DSLR,1,1.592
Accesorios Tablas Digitalizadoras,,,,
99929683,Wacom,Cable 3 en 1 para Cintiq 13HD y Companion STJA328,3,5.592
99929685,Wacom,Cable USB 1m para Intuos y Bamboo STJA307,4,3.992
99928576,Wacom,Funda Grande ACK52702,1,8.990
99928566,Wacom,"Lápiz para Intuos Art, Comic, Draw LP190K",2,7.992
99928573,Wacom,Stand McAllan para MobileStudio Pro 13 & 16 ACK627K,1,20.792
Accesorios Tablets,,,,
99914848,Microlab,"Adaptador SD/MMC/TF micro SD /T2/MM Duo para GalaxyTab",2,792
Accesorios de Drones,,,,
99931709,DJI,Hub Cargador de Baterías Mavic 2,1,15.992
99917396,DJI,Phantom 2 - GPS,1,36.774
99919944,Syma,X5C Quadricoptero - Hélices,4,392
